time,cpu,bb
1.0,0.0,0.008000000000000007
2.0,0.0,0.028750000000000053
4.0,0.0,0.052000000000000046
7.0,0.0,0.08450000000000002
9.0,0.0,0.10975000000000001
10.0,0.0,0.13424999999999998
11.0,0.0,0.16974999999999996
12.0,0.0,0.19799999999999995
13.0,0.0,0.20699999999999996
15.0,0.0,0.21650000000000003
18.0,0.0,0.24075000000000002
20.0,0.0,0.255
22.0,0.0,0.26649999999999996
24.0,0.0,0.2845
26.0,0.0,0.30225
27.0,0.0,0.3385
28.0,0.0,0.34550000000000003
30.0,0.0,0.35575
33.0,0.0,0.36724999999999997
39.0,0.0,0.37050000000000005
42.0,0.0,0.38825
43.0,0.0,0.41300000000000003
44.0,0.0,0.42825
45.0,0.0,0.51475
46.0,0.0,0.524
47.0,0.0,0.567
48.0,0.0,0.608
52.0,0.0,0.6232500000000001
54.0,0.0,0.6347499999999999
58.0,0.0,0.6645
59.0,0.0,0.68675
60.0,0.0,0.71
61.0,0.0,0.7224999999999999
63.0,0.0,0.7384999999999999
64.0,0.0,0.762
65.0,0.0,0.7745
66.0,0.0,0.79925
67.0,0.0,0.8240000000000001
69.0,0.0,0.8335
71.0,0.0,0.84575
72.0,0.0,0.86475
73.0,0.0,0.88875
74.0,0.0,0.893
75.0,0.0,0.916
76.0,0.0,0.92125
78.0,0.0,0.93425
82.0,0.0,0.948
83.0,0.0,0.9725
85.0,0.0,0.98825
86.0,0.0,0.99675
87.0,0.0,0.99675
89.0,0.0,0.99675
90.0,0.0,0.99675
92.0,0.0,0.99675
94.0,0.0,0.99675
95.0,0.0,0.99675
96.0,0.0,0.99675
97.0,0.0,0.99675
98.0,0.0,0.99675
100.0,0.0,0.99675
101.0,0.0,0.99675
102.0,0.0,0.99675
103.0,0.0,0.99675
105.0,0.0,0.99675
107.0,0.0,0.99675
110.0,0.0,0.99675
111.0,0.0,0.99675
112.0,0.0,0.99675
114.0,0.0,0.99675
115.0,0.0,0.99675
116.0,0.0,0.99675
117.0,0.0,0.99675
119.0,0.0,0.99675
125.0,0.0,0.99675
126.0,0.0,0.99675
127.0,0.0,0.99675
128.0,0.0,0.99675
130.0,0.0,0.99675
131.0,0.0,0.99675
133.0,0.0,0.99675
135.0,0.0,0.99675
139.0,0.0,0.99675
140.0,0.0,0.99675
142.0,0.0,0.99675
143.0,0.0,0.99675
144.0,0.0,0.99675
146.0,0.0,0.99675
147.0,0.0,0.99675
148.0,0.0,0.99675
149.0,0.0,0.99675
150.0,0.0,0.99675
151.0,0.0,0.99675
153.0,0.0,0.99675
155.0,0.0,0.99675
156.0,0.0,0.99675
159.0,0.0,0.99675
160.0,0.0,0.99675
162.0,0.0,0.99675
163.0,0.0,0.99675
165.0,0.0,0.99675
168.0,0.0,0.99675
171.0,0.0,0.99675
173.0,0.0,0.99675
174.0,0.0,0.99675
175.0,0.0,0.99675
176.0,0.0,0.99675
177.0,0.0,0.99675
179.0,0.0,0.99675
181.0,0.0,0.99675
181.66666666666666,0.0,0.99425
183.0,0.0,0.99425
184.0,0.0,0.99425
185.0,0.0,0.99425
188.0,0.0,0.99425
189.0,0.0,0.99425
190.0,0.0,0.99425
194.0,0.0,0.99425
195.0,0.0,0.99425
196.0,0.0,0.99425
198.0,0.0,0.99425
199.0,0.0,0.99425
200.0,0.0,0.99425
201.0,0.0,0.99425
