id,submit,input,run,output,complete,wait,response
81.0,83.0,2800.0,10068.0,2800.0,15751.0,0.0,15668.0
34.0,32.0,3200.0,9344.0,3200.0,15776.0,0.0,15744.0
27.0,21.0,3200.0,9425.0,3200.0,15846.0,0.0,15825.0
24.0,19.0,3200.0,9464.0,3200.0,15883.0,0.0,15864.0
46.0,47.0,1600.0,12636.0,1600.0,15883.0,0.0,15836.0
65.0,69.0,1600.0,12641.0,1600.0,15910.0,0.0,15841.0
137.0,134.0,1600.0,12588.0,1600.0,15922.0,0.0,15788.0
31.0,25.0,3200.0,9510.0,3200.0,15935.0,0.0,15910.0
5.0,1.0,2800.0,10371.0,2800.0,15972.0,0.0,15971.0
12.0,5.0,2800.0,10377.0,2800.0,15982.0,0.0,15977.0
23.0,16.0,3200.0,9743.0,3200.0,16159.0,0.0,16143.0
36.0,34.0,3600.0,9364.0,3600.0,16598.0,0.0,16564.0
173.0,179.0,1600.0,2025.0,1600.0,16754.0,11350.0,16575.0
33.0,30.0,3600.0,9805.0,3600.0,17035.0,0.0,17005.0
25.0,20.0,3600.0,9856.0,3600.0,17076.0,0.0,17056.0
15.0,10.0,3200.0,10766.0,3200.0,17176.0,0.0,17166.0
170.0,175.0,2000.0,2384.0,2000.0,17544.0,10985.0,17369.0
50.0,52.0,2800.0,11990.0,2800.0,17642.0,0.0,17590.0
174.0,180.0,2000.0,2086.0,2000.0,17696.0,11430.0,17516.0
47.0,47.0,2800.0,12309.0,2800.0,17956.0,0.0,17909.0
82.0,85.0,3600.0,10867.0,3600.0,18152.0,0.0,18067.0
180.0,187.0,2000.0,2633.0,2000.0,18267.0,11447.0,18080.0
41.0,40.0,2400.0,13437.0,2400.0,18277.0,0.0,18237.0
55.0,57.0,2400.0,13467.0,2400.0,18324.0,0.0,18267.0
58.0,59.0,2400.0,13473.0,2400.0,18332.0,0.0,18273.0
60.0,62.0,2400.0,13485.0,2400.0,18347.0,0.0,18285.0
1.0,0.0,3600.0,11160.0,3600.0,18360.0,0.0,18360.0
118.0,121.0,2400.0,13460.0,2400.0,18381.0,0.0,18260.0
117.0,118.0,2400.0,13467.0,2400.0,18385.0,0.0,18267.0
138.0,135.0,2400.0,13451.0,2400.0,18386.0,0.0,18251.0
14.0,10.0,3600.0,11180.0,3600.0,18390.0,0.0,18380.0
13.0,6.0,3600.0,11190.0,3600.0,18396.0,0.0,18390.0
