time,cpu,bb
1.0,0.0,0.010000000000000009
2.0,0.0,0.02300000000000002
3.0,0.0,0.04674999999999996
4.0,0.0,0.06674999999999998
5.0,0.0,0.07350000000000001
6.0,0.0,0.08074999999999999
7.0,0.0,0.09325000000000006
8.0,0.0,0.10950000000000004
12.0,0.0,0.11724999999999997
13.0,0.0,0.139
16.0,0.0,0.15325
17.0,0.0,0.16549999999999998
18.0,0.0,0.1875
19.0,0.0,0.19274999999999998
20.0,0.0,0.20399999999999996
21.0,0.0,0.22124999999999995
23.0,0.0,0.22599999999999998
24.0,0.0,0.22924999999999995
25.0,0.0,0.23224999999999996
27.0,0.0,0.242
28.0,0.0,0.257
29.0,0.0,0.26449999999999996
30.0,0.0,0.27925
31.0,0.0,0.30374999999999996
32.0,0.0,0.31499999999999995
33.0,0.0,0.3415
34.0,0.0,0.35950000000000004
35.0,0.0,0.36975
37.0,0.0,0.37825
38.0,0.0,0.397
39.0,0.0,0.403
40.0,0.0,0.40325
41.0,0.0,0.40700000000000003
42.0,0.0,0.41174999999999995
44.0,0.0,0.41225
47.0,0.0,0.4235
49.0,0.0,0.42825
51.0,0.0,0.43300000000000005
52.0,0.0,0.44075
54.0,0.0,0.47350000000000003
55.0,0.0,0.47524999999999995
56.0,0.0,0.476
58.0,0.0,0.488
59.0,0.0,0.49875
60.0,0.0,0.50225
61.0,0.0,0.516
62.0,0.0,0.52125
64.0,0.0,0.53825
65.0,0.0,0.54825
67.0,0.0,0.56175
69.0,0.0,0.5765
70.0,0.0,0.5905
72.0,0.0,0.6032500000000001
73.0,0.0,0.64425
74.0,0.0,0.65175
76.0,0.0,0.6527499999999999
77.0,0.0,0.67725
80.0,0.0,0.6995
81.0,0.0,0.70425
82.0,0.0,0.7085
83.0,0.0,0.72175
84.0,0.0,0.7242500000000001
85.0,0.0,0.739
87.0,0.0,0.76225
89.0,0.0,0.771
90.0,0.0,0.7915
92.0,0.0,0.7927500000000001
96.0,0.0,0.80225
98.0,0.0,0.8265
99.0,0.0,0.85375
100.0,0.0,0.86125
101.0,0.0,0.87275
102.0,0.0,0.873
103.0,0.0,0.88125
104.0,0.0,0.89325
105.0,0.0,0.91475
107.0,0.0,0.929
109.0,0.0,0.94175
111.0,0.0,0.9565
113.0,0.0,0.9645
115.0,0.0,0.968
116.0,0.0,0.98475
117.0,0.0,0.9975
118.0,0.0,0.99775
119.0,0.0,0.99775
120.0,0.0,0.99775
121.0,0.0,0.99775
122.0,0.0,0.99775
124.0,0.0,0.99775
126.0,0.0,0.99775
128.0,0.0,0.9975
129.0,0.0,0.9975
131.0,0.0,0.99725
134.0,0.0,0.99725
136.0,0.0,0.99725
137.0,0.0,0.99725
139.0,0.0,0.99725
143.0,0.0,0.99725
144.0,0.0,0.99725
145.0,0.0,0.99725
146.0,0.0,0.99725
147.0,0.0,0.99725
149.0,0.0,0.99725
151.0,0.0,0.99725
152.0,0.0,0.99725
154.0,0.0,0.99725
157.0,0.0,0.99725
158.0,0.0,0.99725
159.0,0.0,0.99725
160.0,0.0,0.99725
162.0,0.0,0.99725
163.0,0.0,0.99725
164.0,0.0,0.99725
165.0,0.0,0.997
167.0,0.0,0.997
168.0,0.0,0.997
169.0,0.0,0.997
171.0,0.0,0.997
173.0,0.0,0.997
174.0,0.0,0.997
176.0,0.0,0.997
177.0,0.0,0.997
178.0,0.0,0.997
179.0,0.0,0.997
180.0,0.0,0.997
181.0,0.0,0.997
183.0,0.0,0.997
184.0,0.0,0.997
185.0,0.0,0.997
187.0,0.0,0.997
188.0,0.0,0.997
190.0,0.0,0.997
191.0,0.0,0.997
192.0,0.0,0.997
193.0,0.0,0.997
194.0,0.0,0.997
196.0,0.0,0.997
198.0,0.0,0.997
201.0,0.0,0.997
203.0,0.0,0.997
206.0,0.0,0.997
207.0,0.0,0.997
209.0,0.0,0.997
212.0,0.0,0.997
213.0,0.0,0.997
214.0,0.0,0.997
216.0,0.0,0.997
218.0,0.0,0.997
220.0,0.0,0.997
221.0,0.0,0.997
222.0,0.0,0.997
223.0,0.0,0.997
225.0,0.0,0.997
226.0,0.0,0.997
227.0,0.0,0.99675
228.0,0.0,0.99675
229.0,0.0,0.99675
230.0,0.0,0.99675
231.0,0.0,0.99675
234.0,0.0,0.99675
236.0,0.0,0.99675
239.0,0.0,0.99675
241.0,0.0,0.99675
242.0,0.0,0.99675
243.0,0.0,0.9965
244.0,0.0,0.9965
245.0,0.0,0.9965
246.0,0.0,0.9965
248.0,0.0,0.9965
250.0,0.0,0.9965
251.0,0.0,0.9965
252.0,0.0,0.9965
253.0,0.0,0.9965
254.0,0.0,0.9965
255.0,0.0,0.9965
258.0,0.0,0.9965
261.0,0.0,0.9965
262.0,0.0,0.9965
265.0,0.0,0.9965
267.0,0.0,0.9965
268.0,0.0,0.9965
269.0,0.0,0.9965
270.0,0.0,0.9965
271.0,0.0,0.9965
273.0,0.0,0.9965
274.0,0.0,0.9965
275.0,0.0,0.9965
277.0,0.0,0.9965
278.0,0.0,0.9965
280.0,0.0,0.9965
281.0,0.0,0.9965
282.0,0.0,0.9965
283.0,0.0,0.9965
284.0,0.0,0.9965
285.0,0.0,0.9965
286.0,0.0,0.9965
287.0,0.0,0.9965
288.0,0.0,0.9965
291.0,0.0,0.9965
292.0,0.0,0.9965
294.0,0.0,0.996
296.0,0.0,0.996
297.0,0.0,0.996
299.0,0.0,0.996
301.0,0.0,0.996
302.0,0.0,0.996
303.0,0.0,0.996
304.0,0.0,0.996
306.0,0.0,0.996
307.0,0.0,0.996
308.0,0.0,0.996
309.0,0.0,0.996
313.0,0.0,0.996
314.0,0.0,0.996
315.0,0.0,0.996
317.0,0.0,0.996
318.0,0.0,0.996
323.0,0.0,0.996
325.0,0.0,0.996
326.0,0.0,0.996
327.0,0.0,0.996
329.0,0.0,0.996
330.0,0.0,0.996
331.0,0.0,0.996
332.0,0.0,0.996
334.0,0.0,0.996
335.0,0.0,0.996
337.0,0.0,0.996
338.0,0.0,0.996
339.0,0.0,0.996
340.0,0.0,0.996
341.0,0.0,0.996
342.0,0.0,0.996
343.0,0.0,0.996
344.0,0.0,0.996
345.0,0.0,0.996
347.0,0.0,0.996
348.0,0.0,0.996
350.0,0.0,0.996
352.0,0.0,0.996
355.0,0.0,0.996
356.0,0.0,0.996
357.0,0.0,0.996
358.0,0.0,0.996
360.0,0.0,0.996
362.0,0.0,0.996
365.0,0.0,0.996
366.0,0.0,0.996
367.0,0.0,0.996
368.0,0.0,0.996
371.0,0.0,0.996
372.0,0.0,0.996
373.0,0.0,0.996
375.0,0.0,0.996
378.0,0.0,0.996
379.0,0.0,0.996
380.0,0.0,0.996
382.0,0.0,0.996
383.0,0.0,0.996
384.0,0.0,0.996
385.0,0.0,0.996
386.0,0.0,0.996
388.0,0.0,0.996
389.0,0.0,0.996
390.0,0.0,0.996
392.0,0.0,0.996
393.0,0.0,0.996
395.0,0.0,0.996
396.0,0.0,0.996
398.0,0.0,0.996
399.0,0.0,0.996
400.0,0.0,0.996
401.0,0.0,0.996
404.0,0.0,0.996
405.0,0.0,0.996
407.0,0.0,0.996
410.0,0.0,0.996
411.0,0.0,0.996
413.0,0.0,0.996
417.0,0.0,0.996
418.0,0.0,0.996
419.0,0.0,0.996
420.0,0.0,0.996
424.0,0.0,0.996
425.0,0.0,0.996
427.0,0.0,0.996
428.0,0.0,0.996
429.0,0.0,0.996
430.0,0.0,0.996
431.0,0.0,0.99525
432.0,0.0,0.99525
434.0,0.0,0.99525
435.0,0.0,0.99525
437.0,0.0,0.99525
439.0,0.0,0.99525
440.0,0.0,0.99525
441.0,0.0,0.99525
442.0,0.0,0.99525
444.0,0.0,0.99525
446.0,0.0,0.99525
448.0,0.0,0.99525
449.0,0.0,0.99525
452.0,0.0,0.99525
454.0,0.0,0.99525
455.0,0.0,0.99525
456.0,0.0,0.99525
457.0,0.0,0.99525
459.0,0.0,0.99525
460.0,0.0,0.99525
461.0,0.0,0.99525
462.0,0.0,0.9945
