id,submit,input,run,output,complete,wait,response
12.0,10.0,18000.0,25577.0,18000.0,61587.0,0.0,61577.0
144.0,140.0,19600.0,23261.0,19600.0,62601.0,0.0,62461.0
51.0,53.0,20800.0,21073.0,20800.0,62726.0,0.0,62673.0
63.0,63.0,17200.0,28264.0,17200.0,62727.0,0.0,62664.0
1.0,0.0,18400.0,25960.0,18400.0,62760.0,0.0,62760.0
66.0,65.0,17600.0,28655.0,17600.0,63920.0,0.0,63855.0
137.0,137.0,17600.0,28588.0,17600.0,63925.0,0.0,63788.0
117.0,117.0,17600.0,28667.0,17600.0,63984.0,0.0,63867.0
168.0,156.0,20000.0,23909.0,20000.0,64065.0,0.0,63909.0
163.0,151.0,20400.0,23613.0,20400.0,64564.0,0.0,64413.0
102.0,107.0,20400.0,24053.0,20400.0,64960.0,0.0,64853.0
89.0,91.0,21600.0,21835.0,21600.0,65126.0,0.0,65035.0
64.0,63.0,18000.0,29081.0,18000.0,65144.0,0.0,65081.0
164.0,153.0,19200.0,26768.0,19200.0,65321.0,0.0,65168.0
166.0,153.0,19200.0,26781.0,19200.0,65334.0,0.0,65181.0
98.0,101.0,20800.0,24455.0,20800.0,66156.0,0.0,66055.0
146.0,140.0,20800.0,24455.0,20800.0,66195.0,0.0,66055.0
104.0,111.0,22000.0,22132.0,22000.0,66243.0,0.0,66132.0
156.0,149.0,22000.0,22393.0,22000.0,66542.0,0.0,66393.0
154.0,148.0,22000.0,22837.0,22000.0,66985.0,0.0,66837.0
16.0,13.0,22400.0,22735.0,22400.0,67548.0,0.0,67535.0
96.0,98.0,22400.0,22675.0,22400.0,67573.0,0.0,67475.0
52.0,53.0,10400.0,46763.0,10400.0,67616.0,0.0,67563.0
9.0,7.0,22400.0,22965.0,22400.0,67772.0,0.0,67765.0
149.0,142.0,22400.0,22840.0,22400.0,67782.0,0.0,67640.0
128.0,132.0,16800.0,34572.0,16800.0,68304.0,0.0,68172.0
135.0,136.0,21600.0,25257.0,21600.0,68593.0,0.0,68457.0
101.0,106.0,22800.0,22935.0,22800.0,68641.0,0.0,68535.0
25.0,23.0,20800.0,27056.0,20800.0,68679.0,0.0,68656.0
69.0,69.0,19200.0,30361.0,19200.0,68830.0,0.0,68761.0
162.0,151.0,22800.0,23309.0,22800.0,69060.0,0.0,68909.0
62.0,63.0,19600.0,30661.0,19600.0,69924.0,0.0,69861.0
125.0,127.0,19600.0,30672.0,19600.0,69999.0,0.0,69872.0
50.0,51.0,20400.0,29590.0,20400.0,70441.0,0.0,70390.0
78.0,80.0,23200.0,24271.0,23200.0,70751.0,0.0,70671.0
82.0,84.0,21200.0,28467.0,21200.0,70951.0,0.0,70867.0
72.0,72.0,23600.0,23754.0,23600.0,71026.0,0.0,70954.0
24.0,23.0,21600.0,27864.0,21600.0,71087.0,0.0,71064.0
26.0,23.0,21600.0,27896.0,21600.0,71119.0,0.0,71096.0
3.0,1.0,21200.0,28761.0,21200.0,71162.0,0.0,71161.0
23.0,23.0,21600.0,28143.0,21600.0,71366.0,0.0,71343.0
73.0,72.0,22800.0,25789.0,22800.0,71461.0,0.0,71389.0
94.0,95.0,23200.0,25011.0,23200.0,71506.0,0.0,71411.0
113.0,116.0,23600.0,24216.0,23600.0,71532.0,0.0,71416.0
157.0,149.0,23600.0,24277.0,23600.0,71626.0,0.0,71477.0
10.0,9.0,23600.0,24511.0,23600.0,71720.0,0.0,71711.0
141.0,139.0,20400.0,31399.0,20400.0,72338.0,0.0,72199.0
31.0,29.0,22000.0,28310.0,22000.0,72339.0,0.0,72310.0
122.0,126.0,23600.0,25639.0,23600.0,72965.0,0.0,72839.0
56.0,58.0,20800.0,31885.0,20800.0,73543.0,0.0,73485.0
60.0,61.0,20800.0,31885.0,20800.0,73546.0,0.0,73485.0
5.0,2.0,22000.0,29571.0,22000.0,73573.0,0.0,73571.0
123.0,126.0,20800.0,31899.0,20800.0,73625.0,0.0,73499.0
88.0,90.0,23600.0,27273.0,23600.0,74563.0,0.0,74473.0
57.0,59.0,21200.0,32260.0,21200.0,74719.0,0.0,74660.0
132.0,135.0,21200.0,32275.0,21200.0,74810.0,0.0,74675.0
167.0,154.0,22400.0,29971.0,22400.0,74925.0,0.0,74771.0
76.0,78.0,16000.0,43632.0,16000.0,75710.0,0.0,75632.0
44.0,42.0,21600.0,32584.0,21600.0,75826.0,0.0,75784.0
42.0,39.0,21600.0,32627.0,21600.0,75866.0,0.0,75827.0
28.0,26.0,23200.0,29463.0,23200.0,75889.0,0.0,75863.0
142.0,140.0,21600.0,32627.0,21600.0,75967.0,0.0,75827.0
22.0,22.0,11200.0,54182.0,11200.0,76604.0,0.0,76582.0
130.0,135.0,22000.0,33064.0,22000.0,77199.0,0.0,77064.0
178.0,168.0,10400.0,10534.0,10400.0,77335.0,45833.0,77167.0
40.0,38.0,22400.0,33437.0,22400.0,78275.0,0.0,78237.0
2.0,0.0,23600.0,31168.0,23600.0,78368.0,0.0,78368.0
77.0,79.0,16800.0,46162.0,16800.0,79841.0,0.0,79762.0
75.0,77.0,16800.0,46463.0,16800.0,80140.0,0.0,80063.0
45.0,42.0,23200.0,34246.0,23200.0,80688.0,0.0,80646.0
124.0,126.0,23200.0,34250.0,23200.0,80776.0,0.0,80650.0
118.0,120.0,23200.0,34260.0,23200.0,80780.0,0.0,80660.0
133.0,135.0,23200.0,34246.0,23200.0,80781.0,0.0,80646.0
46.0,44.0,23600.0,34636.0,23600.0,81880.0,0.0,81836.0
59.0,61.0,23600.0,34661.0,23600.0,81922.0,0.0,81861.0
131.0,135.0,23600.0,34650.0,23600.0,81985.0,0.0,81850.0
221.0,209.0,4800.0,8465.0,4800.0,81990.0,63716.0,81781.0
